2023-11-30-13-08-58_transfer-import-format-12-xls, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-207. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-208. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-209. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-210. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-211. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-212. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-213. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-214. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-215. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-216. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-217. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-218. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
